No.     name     n    m   |  lan: f       nf   ng  flag | MF0: f         nf  ng  iter flag |  MF2: f       nf   ng  iter flag |  MF4: f       nf   ng iter  flag |  MF6: f       nf   ng iter  flag
  1  AIRCRFTA    8    5:  |  2.6126e-18    4    5     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
  2   ARGTRIG  200  200:  |  1.4985e-17   16   15     0 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2
  3     ARTIF   12   10:  |  1.7122e-15   14   11     0 |  0.0000e+00    8    7    6     2 |  0.0000e+00   11   11   10     2 |  0.0000e+00   11   11   10     2 |  0.0000e+00   11   11   10     2
  4     ARTIF  102  100:  |  9.1032e-12   33   25     0 |  0.0000e+00  334   40   39    -1 |  0.0000e+00 1001  293  292     0 |  0.0000e+00  606  337  336     2 |  0.0000e+00  629  390  389     2
  5     ARTIF  502  500:  |  5.9288e-11   33   25     0 |  0.0000e+00    0    0    0    -5 |  0.0000e+00    0    0    0    -5 |  0.0000e+00    0    0    0    -5 |  0.0000e+00    0    0    0    -5
  6     AUG2D  220  100:  |  1.1080e+02   17   18     0 |  1.1080e+02   19   19   18     2 |  1.1080e+02   19   19   18     2 |  1.1080e+02   19   19   18     2 |  1.1080e+02   19   19   18     2
  7    AUG2DC  220  100:  |  1.8424e+02   17   18     0 |  1.8424e+02    2    2    1     2 |  1.8424e+02    2    2    1     2 |  1.8424e+02    2    2    1     2 |  1.8424e+02    2    2    1     2
  8   BDVALUE  102  100:  |  6.3525e-10    1    2     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
  9  BDVALUES  102  100:  |  4.6599e-05   25   26     8 |  0.0000e+00   13   13   12     2 |  0.0000e+00   13   13   12     2 |  0.0000e+00   13   13   12     2 |  0.0000e+00   13   13   12     2
 10     BOOTH    2    2:  |  0.0000e+00    3    4     0 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2
 11   BRATU2D   49   25:  |  1.1397e-12    4    5     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
 12  BRATU2DT   49   25:  |  2.2427e-04    8    9     8 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2
 13   BRATU3D   27    1:  |  1.2021e-15    4    5     0 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2 |  0.0000e+00    4    4    3     2
 14  BROWNALE  200  200:  |  1.4888e-09    3    4     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
 15  BROYDN3D   10   10:  |  3.1082e-17    5    6     0 |  0.0000e+00    5    5    4     2 |  0.0000e+00    5    5    4     2 |  0.0000e+00    5    5    4     2 |  0.0000e+00    5    5    4     2
 16       BT1    2    1:  | -1.0000e+00   53   46     0 | -9.9960e-01    9    6    5     2 | -9.9960e-01   11    9    8     2 | -1.0000e+00    8    8    7     2 | -1.0000e+00    8    8    7     2
 17      BT10    2    2:  | -1.0000e+00   17   18     0 | -1.0000e+00    7    7    6     2 | -1.0000e+00    7    7    6     2 | -1.0000e+00    7    7    6     2 | -1.0000e+00    7    7    6     2
 18      BT11    5    3:  |  8.2489e-01   19   20     0 |  8.2489e-01   18   13   12     2 |  8.2489e-01   22   19   18     2 |  8.2489e-01   37   33   32     2 |  8.2489e-01   38   31   30     2
 19      BT12    5    3:  |  6.1881e+00   18   18     0 |  6.1881e+00   11    8    7     2 |  6.1881e+00    8    8    7     2 |  6.1881e+00    8    8    7     2 |  6.1881e+00    8    8    7     2
 20       BT2    3    1:  |  3.2568e-02   27   27     0 |  3.2568e-02   76   22   21     2 |  2.1897e+00  180   46   45     2 |  2.1897e+00  159   45   44     2 |  2.1897e+00  159   45   44     2
 21       BT3    5    3:  |  4.0930e+00    9   10     0 |  4.0930e+00    8    8    7     2 |  4.0930e+00    8    8    7     2 |  4.0930e+00    8    8    7     2 |  4.0930e+00    8    8    7     2
 22       BT4    3    2:  | -4.5511e+01   23   23     0 | -4.5511e+01   22   10    9     2 | -4.5511e+01   15   15   14     2 | -4.5511e+01   41   26   25     2 | -4.5511e+01   43   28   27     2
 23       BT5    3    2:  |  9.6172e+02   18   18     0 |  9.6172e+02    9    8    7     2 |  9.6172e+02   10   10    9     2 |  9.6172e+02   10   10    9     2 |  9.6172e+02   10   10    9     2
 24       BT6    5    2:  |  2.7705e-01   28   25     0 |  8.5334e+00   82   40   39     2 |  4.8777e+00  108   72   71     2 |  1.0613e+01  109   54   53     2 |  2.7704e-01  109   55   54     2
 25       BT7    5    3:  |  3.0650e+02   48   47     0 |  3.0650e+02  300   44   43     2 |  1.8067e-01  662  120  119    -1 |  1.2707e+01 1001  225  224     0 |  4.4647e+11 1001  276  275     0
 26       BT8    5    2:  |  1.0000e+00   28   26     0 |  1.0000e+00   11   11   10     2 |  1.0000e+00   11   11   10     2 |  1.0000e+00   11   11   10     2 |  1.0000e+00   11   11   10     2
 27       BT9    4    2:  | -1.0000e+00   20   21     0 | -1.0000e+00   25   19   18     2 | -1.0000e+00   29   27   26     2 | -1.0000e+00   49   42   41     2 | -1.0000e+00   55   48   47     2
 28  BYRDSPHR    3    2:  | -4.6833e+00   45   41     0 | -4.6833e+00   18    9    8     2 | -4.6833e+00    8    8    7     2 | -4.6833e+00    8    8    7     2 | -4.6833e+00    8    8    7     2
 29    CATENA  501  166:  | -3.4853e+05  172  154     0 | -2.4427e+05    0    0    0    -5 | -2.4427e+05    0    0    0    -5 | -2.4427e+05    0    0    0    -5 | -2.4427e+05    0    0    0    -5
 30  CATENARY  501  166:  | -3.4840e+05  895  737     0 |  0.0000e+00    0    0    0    -5 |  0.0000e+00    0    0    0    -5 |  0.0000e+00    0    0    0    -5 |  0.0000e+00    0    0    0    -5
